callConid,clocal_name,clocal_class,call_close_prc,strike,multiplier,put_close_prc,plocal_class,plocal_name,putConid,expiration
566496535,SPXW  220623C03100000,SPXW,659.85,3100.0,100,0.0001,SPXW,SPXW  220623P03100000,566496644,
566945758,SPXW  220623C03150000,SPXW,609.86,3150.0,100,0.0001,SPXW,SPXW  220623P03150000,566945975,
566244191,SPXW  220623C03200000,SPXW,559.86,3200.0,100,0.0001,SPXW,SPXW  220623P03200000,566245029,
566945762,SPXW  220623C03250000,SPXW,509.86,3250.0,100,0.0001,SPXW,SPXW  220623P03250000,566945976,
566244204,SPXW  220623C03300000,SPXW,459.86,3300.0,100,0.0001,SPXW,SPXW  220623P03300000,566245039,
566244215,SPXW  220623C03350000,SPXW,409.86,3350.0,100,0.0001,SPXW,SPXW  220623P03350000,566245059,
568520432,SPXW  220623C03375000,SPXW,384.86,3375.0,100,0.0001,SPXW,SPXW  220623P03375000,568520939,
566244232,SPXW  220623C03400000,SPXW,359.87,3400.0,100,0.0002,SPXW,SPXW  220623P03400000,566245062,
568520447,SPXW  220623C03425000,SPXW,334.87,3425.0,100,0.0009,SPXW,SPXW  220623P03425000,568520954,
568520459,SPXW  220623C03440000,SPXW,319.87,3440.0,100,0.0021,SPXW,SPXW  220623P03440000,568520974,
566244246,SPXW  220623C03450000,SPXW,309.87,3450.0,100,0.0034,SPXW,SPXW  220623P03450000,566245085,
568520464,SPXW  220623C03460000,SPXW,299.87,3460.0,100,0.0055,SPXW,SPXW  220623P03460000,568520976,
568520483,SPXW  220623C03470000,SPXW,289.88,3470.0,100,0.0089,SPXW,SPXW  220623P03470000,568520995,
568520486,SPXW  220623C03475000,SPXW,284.88,3475.0,100,0.0112,SPXW,SPXW  220623P03475000,568521004,
568520504,SPXW  220623C03480000,SPXW,279.88,3480.0,100,0.0140,SPXW,SPXW  220623P03480000,568521021,
